# Axial profile TIC nozzle / chemical equilibrium
# Columns:
# 1: Distance from throat [mm]
# 2: Density [kg/m3]
# 3: axial velocity [m/s]
# 4: pressure [Pa]
# 5: temperature [K]
# 6: Mach number [1]
# 7-12: Mass fractions of major species: CO, CO2, H2, H2O, OH, O2
 -1.523865919E+01 5.213046168E+00 1.023824044E+03 7.376908408E+06 3.659436356E+03 8.093970478E-01 2.318631909E-01 2.451886867E-01 7.528938236E-03 3.850031939E-01 6.670116860E-02 5.047046735E-02
 -1.333850407E+01 5.174611418E+00 1.035404791E+03 7.314737722E+06 3.656684732E+03 8.189814221E-01 2.316934413E-01 2.454560035E-01 7.521511816E-03 3.851687306E-01 6.656363252E-02 5.039424719E-02
 -1.149369327E+01 5.137754578E+00 1.046528821E+03 7.254730894E+06 3.654019126E+03 8.282060641E-01 2.315280386E-01 2.457164687E-01 7.514253777E-03 3.853303770E-01 6.642971151E-02 5.031975556E-02
 -9.702614826E+00 5.102362188E+00 1.057217627E+03 7.196976413E+06 3.651501316E+03 8.370736709E-01 2.313761460E-01 2.459556779E-01 7.507647274E-03 3.854782831E-01 6.630621619E-02 5.025220413E-02
 -7.963703715E+00 5.068426324E+00 1.067524277E+03 7.140530561E+06 3.648849785E+03 8.456835157E-01 2.311982461E-01 2.462357577E-01 7.499625995E-03 3.856546895E-01 6.616367522E-02 5.016931902E-02
 -6.275440500E+00 5.033707474E+00 1.077774011E+03 7.085987625E+06 3.646542886E+03 8.541584052E-01 2.310725656E-01 2.464337339E-01 7.494632483E-03 3.857688652E-01 6.606234906E-02 5.011631464E-02
 -4.636350000E+00 4.992721178E+00 1.089408130E+03 7.022433714E+06 3.643411203E+03 8.638636883E-01 2.308670951E-01 2.467572049E-01 7.485897373E-03 3.859614640E-01 6.590135902E-02 5.002170703E-02
 -3.045000000E+00 4.954692388E+00 1.100303520E+03 6.963274555E+06 3.640542350E+03 8.729548591E-01 2.306829702E-01 2.470470869E-01 7.478123915E-03 3.861335424E-01 6.575666001E-02 4.993769142E-02
 -1.500000000E+00 4.918493654E+00 1.110721896E+03 6.906676028E+06 3.637811247E+03 8.816589219E-01 2.305088570E-01 2.473212103E-01 7.470783860E-03 3.862962444E-01 6.561969183E-02 4.985844622E-02
 0.000000000E+00 4.884049238E+00 1.120670957E+03 6.852527162E+06 3.635203024E+03 8.899833357E-01 2.303429385E-01 2.475824321E-01 7.463788079E-03 3.864513975E-01 6.548911836E-02 4.978297510E-02
 1.500000000E+00 4.850356431E+00 1.130438644E+03 6.799270559E+06 3.632639933E+03 8.981685693E-01 2.301800226E-01 2.478389259E-01 7.456914427E-03 3.866038854E-01 6.536088053E-02 4.970886952E-02
 3.045000000E+00 4.816595633E+00 1.140259589E+03 6.745606020E+06 3.630056783E+03 9.064120206E-01 2.300157240E-01 2.480975948E-01 7.449974204E-03 3.867578535E-01 6.523155216E-02 4.963408677E-02
 4.636350000E+00 4.782893109E+00 1.150086068E+03 6.691742965E+06 3.627467012E+03 9.146736749E-01 2.298512069E-01 2.483566074E-01 7.443021253E-03 3.869121595E-01 6.510201678E-02 4.955921802E-02
 6.275440500E+00 4.749403467E+00 1.159874818E+03 6.637872248E+06 3.624864717E+03 9.229213153E-01 2.296846973E-01 2.486187505E-01 7.435958871E-03 3.870687150E-01 6.497102494E-02 4.948317620E-02
 7.963703715E+00 4.716204444E+00 1.169585088E+03 6.584363394E+06 3.622333081E+03 9.311040593E-01 2.295275491E-01 2.488661746E-01 7.429361151E-03 3.872157976E-01 6.484687705E-02 4.941234180E-02
 9.702614826E+00 4.683272223E+00 1.179268437E+03 6.530231933E+06 3.619565603E+03 9.393331838E-01 2.293362390E-01 2.491672996E-01 7.421014733E-03 3.873984932E-01 6.469783687E-02 4.932209740E-02
 1.149369327E+01 4.646771958E+00 1.189690757E+03 6.473408295E+06 3.617024794E+03 9.480753986E-01 2.292000420E-01 2.493818181E-01 7.415634968E-03 3.875222391E-01 6.458782290E-02 4.926518747E-02
 1.333850407E+01 4.584980082E+00 1.206814967E+03 6.378369628E+06 3.611972372E+03 9.626116408E-01 2.288644072E-01 2.499101246E-01 7.401204886E-03 3.878403741E-01 6.432470802E-02 4.910980742E-02
 1.523865919E+01 4.521653391E+00 1.224488748E+03 6.280298978E+06 3.606867429E+03 9.776336953E-01 2.285349274E-01 2.504287747E-01 7.387156863E-03 3.881517245E-01 6.406537735E-02 4.895903399E-02
 1.719581897E+01 4.461883490E+00 1.241359310E+03 6.186814235E+06 3.602027656E+03 9.920101423E-01 2.282247801E-01 2.509169966E-01 7.373942660E-03 3.884450518E-01 6.382098117E-02 4.881744795E-02
 1.921169354E+01 4.402215666E+00 1.258382748E+03 6.092473067E+06 3.597141526E+03 1.006563400E+00 2.279112302E-01 2.514105686E-01 7.360552880E-03 3.887422894E-01 6.357390308E-02 4.867412321E-02
