# Axial (center line) profile RAO nozzle / chemical equilibrium
# Columns:
# 1: Distance from throat [mm]
# 2: Density [kg/m3]
# 3: axial velocity [m/s]
# 4: pressure [Pa]
# 5: temperature [K]
# 6: Mach number [1]
# 7-12: Mass fractions of major species: CO, CO2, H2, H2O, OH, O2
 7.500401727E+01 3.123889745E+00 1.622513068E+03 4.135979008E+06 3.477008341E+03 1.328164556E+00 2.199541085E-01 2.639318625E-01 7.036341514E-03 3.959200462E-01 5.753472432E-02 4.498620983E-02
 7.875413778E+01 3.027530333E+00 1.650708731E+03 3.994079864E+06 3.465471646E+03 1.354248939E+00 2.190867513E-01 2.652961005E-01 7.001210933E-03 3.966832119E-01 5.690575513E-02 4.456390872E-02
 8.261676192E+01 2.926265304E+00 1.681555767E+03 3.841062909E+06 3.452969889E+03 1.383028671E+00 2.181393330E-01 2.667862176E-01 6.963148087E-03 3.975090829E-01 5.622464347E-02 4.410058146E-02
 8.659526478E+01 2.827321707E+00 1.710983060E+03 3.697569198E+06 3.442406200E+03 1.410051301E+00 2.174857884E-01 2.678144082E-01 6.938943309E-03 3.980560238E-01 5.574308439E-02 4.380663058E-02
 9.069312272E+01 2.723736719E+00 1.743261414E+03 3.542889106E+06 3.428333969E+03 1.440767623E+00 2.163666216E-01 2.695744385E-01 6.893023167E-03 3.990459317E-01 5.494182036E-02 4.324993734E-02
 9.491391640E+01 2.622548763E+00 1.774248154E+03 3.397355498E+06 3.417418347E+03 1.469447923E+00 2.157338289E-01 2.705700143E-01 6.870156585E-03 3.995717658E-01 5.447090064E-02 4.297415137E-02
 9.926133389E+01 2.518778905E+00 1.807538302E+03 3.244169199E+06 3.402096107E+03 1.501667052E+00 2.144812931E-01 2.725395780E-01 6.820242201E-03 4.006438050E-01 5.359654555E-02 4.234525422E-02
 1.037391739E+02 2.417512054E+00 1.839625552E+03 3.099893309E+06 3.390200134E+03 1.531816907E+00 2.137613146E-01 2.736721264E-01 6.795031428E-03 4.012195545E-01 5.307782592E-02 4.202456652E-02
 1.083513491E+02 2.315252111E+00 1.873589046E+03 2.950749837E+06 3.374463463E+03 1.565131066E+00 2.124892149E-01 2.756723749E-01 6.744454631E-03 4.023089657E-01 5.219018660E-02 4.138749649E-02
 1.131018896E+02 2.215108321E+00 1.906684375E+03 2.809161905E+06 3.361054818E+03 1.596992561E+00 2.115897326E-01 2.770869805E-01 6.711112883E-03 4.030532789E-01 5.154952032E-02 4.096728682E-02
 1.179949463E+02 2.114970690E+00 1.940984738E+03 2.666389501E+06 3.346392123E+03 1.630507228E+00 2.105392573E-01 2.787388478E-01 6.672727661E-03 4.038999407E-01 5.082335337E-02 4.046312385E-02
 1.230347947E+02 2.015841554E+00 1.975688877E+03 2.526085088E+06 3.329708507E+03 1.665266983E+00 2.091978112E-01 2.808479400E-01 6.621571843E-03 4.050049191E-01 4.990939757E-02 3.979201297E-02
 1.282258385E+02 1.918257798E+00 2.010432801E+03 2.389968143E+06 3.315638030E+03 1.699315075E+00 2.082920804E-01 2.822722706E-01 6.590108439E-03 4.057171146E-01 4.927776496E-02 3.937599853E-02
 1.335726137E+02 1.822219664E+00 2.046094566E+03 2.254761347E+06 3.297619483E+03 1.735923063E+00 2.067868453E-01 2.846386759E-01 6.532222112E-03 4.069612297E-01 4.826188731E-02 3.861252263E-02
 1.390797921E+02 1.729447584E+00 2.081077922E+03 2.126643884E+06 3.281103373E+03 1.771494280E+00 2.055298769E-01 2.866148570E-01 6.487176596E-03 4.079471791E-01 4.742208288E-02 3.799471258E-02
 1.447521858E+02 1.639234843E+00 2.116066785E+03 2.003084915E+06 3.266054325E+03 1.806765399E+00 2.045184516E-01 2.882051378E-01 6.452868259E-03 4.087196506E-01 4.673807663E-02 3.752082228E-02
 1.505947514E+02 1.551268150E+00 2.151638381E+03 1.882119771E+06 3.247428414E+03 1.844301447E+00 2.029471355E-01 2.906752135E-01 6.393788679E-03 4.099898759E-01 4.569799732E-02 3.671998249E-02
 1.566125940E+02 1.465859180E+00 2.187122505E+03 1.766112786E+06 3.229292376E+03 1.881714094E+00 2.014845602E-01 2.929743399E-01 6.341870535E-03 4.111174484E-01 4.474683684E-02 3.598541952E-02
 1.628109718E+02 1.383177690E+00 2.222459992E+03 1.655265274E+06 3.212708715E+03 1.918616951E+00 2.002815372E-01 2.948655543E-01 6.301284259E-03 4.120195689E-01 4.395982520E-02 3.540330733E-02
 1.691953009E+02 1.303302787E+00 2.257963114E+03 1.548580702E+06 3.195459235E+03 1.956274918E+00 1.989781413E-01 2.969144521E-01 6.256274946E-03 4.130113995E-01 4.311056496E-02 3.476230011E-02
 1.757711600E+02 1.226651337E+00 2.293570121E+03 1.446205897E+06 3.175245181E+03 1.995585592E+00 1.972099659E-01 2.996936352E-01 6.193044756E-03 4.143683874E-01 4.198870177E-02 3.384929339E-02
 1.825442948E+02 1.153352979E+00 2.328735507E+03 1.349611624E+06 3.156389556E+03 2.034187642E+00 1.956632253E-01 3.021247993E-01 6.139978696E-03 4.155225335E-01 4.101193391E-02 3.306605978E-02
 1.895206236E+02 1.083222511E+00 2.363550968E+03 1.258391517E+06 3.138821105E+03 2.072213369E+00 1.943192866E-01 3.042372397E-01 6.095180694E-03 4.165119040E-01 4.015948468E-02 3.240095529E-02
 1.967062423E+02 1.016148482E+00 2.398329330E+03 1.171586852E+06 3.121093659E+03 2.110540261E+00 1.929686992E-01 3.063600770E-01 6.051425829E-03 4.174823505E-01 3.931401130E-02 3.173353994E-02
 2.041074296E+02 9.522086588E-01 2.432997080E+03 1.089264472E+06 3.101362409E+03 2.149980402E+00 1.912991735E-01 3.089840236E-01 5.995595882E-03 4.186948852E-01 3.828737516E-02 3.087834506E-02
 2.117306525E+02 8.914760472E-01 2.467459792E+03 1.011514423E+06 3.081139079E+03 2.189917285E+00 1.895290273E-01 3.117660314E-01 5.935283544E-03 4.199961621E-01 3.720274122E-02 2.996065617E-02
 2.195825720E+02 8.338066750E-01 2.501682008E+03 9.382404631E+05 3.060905659E+03 2.229900733E+00 1.877826434E-01 3.145106455E-01 5.877905218E-03 4.212422427E-01 3.614788635E-02 2.905919753E-02
 2.276700492E+02 7.792800736E-01 2.535286154E+03 8.700538032E+05 3.042064368E+03 2.268908253E+00 1.862541853E-01 3.169127815E-01 5.829759199E-03 4.223039339E-01 3.522865854E-02 2.828531701E-02
