# Axial (center line) profile RAO nozzle / chemical equilibrium / Kerosene conditions
# Columns:
# 1: Axial distance from throat [mm]
# 2: Density [kg/m3]
# 3: axial velocity [m/s]
# 4: pressure [Pa]
# 5: temperature [K]
# 6: Mach number [1]
# 7-12: Mass fractions of major species: CO, CO2, H2, H2O, OH, O2
 8.261676192E+01 3.306681671E+00 1.603508030E+03 3.847454794E+06 3.253457171E+03 1.385707706E+00 4.267288140E-01 2.716714875E-01 9.430971312E-03 2.691713517E-01 1.724345886E-02 3.530159518E-03
 8.659526478E+01 3.194525012E+00 1.632524669E+03 3.695014709E+06 3.236744043E+03 1.414674595E+00 4.260991992E-01 2.726628892E-01 9.432986430E-03 2.695818600E-01 1.671672331E-02 3.369016862E-03
 9.069312272E+01 3.084266178E+00 1.660555225E+03 3.550361325E+06 3.223548577E+03 1.442161828E+00 4.256401546E-01 2.733859673E-01 9.435560608E-03 2.698480948E-01 1.635184062E-02 3.259552040E-03
 9.491391640E+01 2.970704605E+00 1.690462971E+03 3.398822320E+06 3.205656663E+03 1.472498502E+00 4.249426046E-01 2.744841191E-01 9.437068071E-03 2.703101669E-01 1.577092927E-02 3.075067679E-03
 9.926133389E+01 2.858132933E+00 1.719978033E+03 3.252365315E+06 3.191594781E+03 1.501871446E+00 4.244358958E-01 2.752820981E-01 9.439319641E-03 2.706088329E-01 1.537162346E-02 2.949281012E-03
 1.037391739E+02 2.742894489E+00 1.751337130E+03 3.100096976E+06 3.171755715E+03 1.534338760E+00 4.236476371E-01 2.765228076E-01 9.441151284E-03 2.711324107E-01 1.471734592E-02 2.738590183E-03
 1.083513491E+02 2.628849075E+00 1.782304581E+03 2.953354209E+06 3.155526162E+03 1.565698805E+00 4.231139442E-01 2.773631730E-01 9.447705545E-03 2.714082141E-01 1.430083185E-02 2.626402868E-03
 1.131018896E+02 2.514070542E+00 1.814870892E+03 2.802828650E+06 3.133688659E+03 1.600037724E+00 4.223147498E-01 2.786209944E-01 9.454616489E-03 2.718913631E-01 1.364307625E-02 2.437291201E-03
 1.179949463E+02 2.402021919E+00 1.846476339E+03 2.660749368E+06 3.115819557E+03 1.632804138E+00 4.216870409E-01 2.796090684E-01 9.460837118E-03 2.722391930E-01 1.314828404E-02 2.294232501E-03
 1.230347947E+02 2.290373031E+00 1.879084472E+03 2.518356514E+06 3.096487046E+03 1.667194320E+00 4.209809169E-01 2.807203893E-01 9.466897709E-03 2.726474928E-01 1.258663655E-02 2.126178406E-03
 1.282258385E+02 2.179595651E+00 1.912350184E+03 2.377483488E+06 3.073100760E+03 1.703124717E+00 4.201816508E-01 2.819781190E-01 9.479090280E-03 2.730700450E-01 1.195058206E-02 1.959974128E-03
 1.335726137E+02 2.070831178E+00 1.945537083E+03 2.241464666E+06 3.052845903E+03 1.738584131E+00 4.195251830E-01 2.830112506E-01 9.491100052E-03 2.733755698E-01 1.145058537E-02 1.834444078E-03
 1.390797921E+02 1.964530802E+00 1.979155168E+03 2.108355954E+06 3.029373039E+03 1.775543779E+00 4.187172383E-01 2.842824654E-01 9.504048609E-03 2.737932809E-01 1.081544378E-02 1.667053223E-03
 1.447521858E+02 1.861647246E+00 2.012551610E+03 1.980861111E+06 3.005535866E+03 1.812732314E+00 4.178768028E-01 2.856046645E-01 9.516867707E-03 2.742368002E-01 1.015436006E-02 1.487674351E-03
 1.505947514E+02 1.762148439E+00 2.045694873E+03 1.859038314E+06 2.983029351E+03 1.849444597E+00 4.171972708E-01 2.866738263E-01 9.535693388E-03 2.744808004E-01 9.665801569E-03 1.383506201E-03
 1.566125940E+02 1.665625852E+00 2.079028447E+03 1.741274702E+06 2.958536896E+03 1.887197019E+00 4.164262665E-01 2.878867187E-01 9.555646420E-03 2.747875750E-01 9.097284793E-03 1.255994167E-03
 1.628109718E+02 1.572049557E+00 2.112585223E+03 1.627474105E+06 2.931421754E+03 1.926238982E+00 4.155348026E-01 2.892889018E-01 9.577091663E-03 2.751774390E-01 8.423276860E-03 1.097614592E-03
 1.691953009E+02 1.482127236E+00 2.145622575E+03 1.520137195E+06 2.906706871E+03 1.964464449E+00 4.147623549E-01 2.905038905E-01 9.599373082E-03 2.754514555E-01 7.874981426E-03 9.767444303E-04
 1.757711600E+02 1.395535001E+00 2.178678707E+03 1.417399561E+06 2.881661562E+03 2.003072879E+00 4.140346502E-01 2.916484690E-01 9.626221278E-03 2.756289313E-01 7.396210178E-03 8.883927710E-04
 1.825442948E+02 1.312301718E+00 2.211702785E+03 1.319377864E+06 2.854268919E+03 2.042639467E+00 4.132080393E-01 2.929484519E-01 9.655239422E-03 2.758658230E-01 6.833162632E-03 7.786121882E-04
 1.895206236E+02 1.232614823E+00 2.244737447E+03 1.225840114E+06 2.825033898E+03 2.083257983E+00 4.122948777E-01 2.943844082E-01 9.685824868E-03 2.761597493E-01 6.194920603E-03 6.478827121E-04
 1.967062423E+02 1.156677403E+00 2.277295899E+03 1.138016065E+06 2.796497910E+03 2.123413156E+00 4.114903858E-01 2.956494457E-01 9.722943645E-03 2.762526995E-01 5.726133812E-03 5.751422784E-04
 2.041074296E+02 1.084401235E+00 2.309462497E+03 1.055464165E+06 2.768849231E+03 2.163420972E+00 4.107047933E-01 2.968847064E-01 9.759388379E-03 2.763407789E-01 5.271070497E-03 5.039977229E-04
 2.117306525E+02 1.015769199E+00 2.341240023E+03 9.779868243E+05 2.741900788E+03 2.203354714E+00 4.099230209E-01 2.981138980E-01 9.794757699E-03 2.764441676E-01 4.810866683E-03 4.281730225E-04
 2.195825720E+02 9.505868000E-01 2.372974398E+03 9.045476941E+05 2.711322636E+03 2.244723405E+00 4.090406921E-01 2.995010634E-01 9.838188073E-03 2.765098302E-01 4.323678146E-03 3.534120922E-04
